frame_id,timestamp_s,ego_x,ego_y,ego_psi,N_vehicles,P_processed,S_segments,K_beams,sum_m_k,num_hits,time_scan_sec,memory_rss_mb
144,14.4,1002.7930000114267,985.6263262023946,0.46997799625531017,10,6,24,241,322,136,0.00013749999925494194,2282.5390625
145,14.5,1003.2697980997024,985.8794041450259,0.5059666558153094,9,4,16,241,338,127,0.00013219999527791515,2282.54296875
146,14.6,1003.7371814807947,986.1494738343814,0.5419553153753095,9,5,20,241,316,113,0.00010250000195810571,2282.54296875
147,14.7,1004.1945448727391,986.436185518376,0.5779439749353096,9,4,16,241,298,103,9.780000254977494e-05,2282.54296875
148,14.8,1004.6412959698962,986.7391678928119,0.6139326344953097,9,5,20,241,272,123,0.00010240000119665638,2282.54296875
149,14.9,1005.0768562100135,987.0580285822341,0.6499212940553096,10,5,20,241,314,140,0.00012759999663103372,2282.546875
150,15.0,1005.500661523489,987.3923546480737,0.6859099536153098,10,6,24,241,304,127,0.00010699999984353781,2282.546875
151,15.1,1005.9121630638657,987.7417131234216,0.7218986131753098,10,5,20,241,280,105,0.00010779999865917489,2282.546875
152,15.2,1006.3108279186123,988.1056515737395,0.757887272735309,9,5,20,241,258,80,9.180000051856041e-05,2282.546875
153,15.3,1006.6961397992679,988.4836986827821,0.7938759322953098,9,4,16,241,290,90,9.050000517163426e-05,2282.546875
154,15.4,1007.0675997100583,988.8753648629732,0.8298645918553101,9,5,20,241,334,104,9.339999814983457e-05,2282.546875
155,15.5,1007.4247265941175,989.280142889442,0.8658532514153092,10,5,20,241,388,125,0.00010099999781232327,2282.546875
156,15.6,1007.7670579564774,989.6975085569024,0.9018419109753094,10,6,24,241,446,153,0.00010800000018207356,2282.546875
157,15.7,1008.0941504630189,990.1269213585215,0.9378305705353094,10,5,20,241,496,180,0.00014830000145593658,2282.55078125
158,15.8,1008.405580514609,990.5678251858993,0.9738192300953095,11,6,24,241,562,201,0.00012379999679978937,2282.55078125
159,15.9,1008.7009447956807,991.0196490492541,1.0098078896553095,10,6,24,241,574,213,0.00012309999874560162,2282.55078125
160,16.0,1008.9798607965439,991.4818078168788,1.0457965492153096,11,7,28,241,610,241,0.0001373999984934926,2282.55078125
161,16.1,1009.241967308752,991.9537029729124,1.0817852087753097,11,7,28,241,363,241,0.00013469999976223335,2282.55078125
162,16.2,1009.4869248928834,992.434723392444,1.1177738683353098,11,7,28,241,379,241,0.00015349999739555642,2282.55078125
163,16.3,1009.7144163181299,992.9242461329467,1.1537625278953099,11,7,28,241,407,241,0.00013479999324772507,2282.55078125
164,16.4,1009.9241469731244,993.421637241015,1.189751187455309,11,7,28,241,184,92,0.0001505999971413985,2282.55078125
165,16.5,1010.115845247476,993.9262525733627,1.22573984701531,10,7,28,241,178,89,0.00010450000263517722,2282.55078125
166,16.6,1010.2892628835172,994.4374386310167,1.26172850657531,11,8,32,241,168,84,8.549999620299786e-05,2282.5546875
167,16.7,1010.444175297808,994.9545334056262,1.2977171661353093,11,7,28,241,148,74,6.479999865405262e-05,2282.5546875
168,16.8,1010.5803818719819,995.4768672367933,1.3337058256953103,11,8,32,241,108,54,5.650000093737617e-05,2282.55859375
169,16.9,1010.6977062125554,996.003763679312,1.3696944852553095,11,7,28,241,70,35,6.329999450827017e-05,2282.55859375
170,17.0,1010.7959963793649,996.5345403791947,1.4056831448153095,11,7,28,241,40,20,5.220000457484275e-05,2282.55859375
171,17.1,1010.8751250823361,997.0685099573506,1.4416718043753105,11,7,28,241,20,10,4.799999442184344e-05,2282.55859375
172,17.2,1010.9349898463306,997.6049808997712,1.4776604639353097,11,8,32,241,4,2,5.0000002374872565e-05,2282.55859375
173,17.3,1010.9755131438548,998.1432584530722,1.5136491234953098,11,6,24,241,0,0,7.400000322377309e-05,2282.55859375
174,17.4,1010.9966424954623,998.6826455242284,1.549637783055309,13,9,36,241,0,0,5.339999916031957e-05,2282.55859375
175,17.5,1010.9983505377169,999.2224435833408,1.58562644261531,13,6,24,241,0,0,4.4699998397845775e-05,2282.55859375
176,17.6,1010.9806350586285,999.7619535682628,1.62161510217531,12,7,28,241,0,0,5.610000516753644e-05,2282.55859375
177,17.7,1010.9435190005196,1000.3004767899166,1.6576037617353092,12,5,20,241,0,0,4.70000013592653e-05,2282.55859375
178,17.8,1010.8870504303118,1000.8373158371259,1.6935924212953102,12,7,28,241,0,0,4.649999755201861e-05,2282.55859375
179,17.9,1010.8113024772789,1001.3717754797942,1.7295810808553094,12,5,20,241,0,0,4.4200001866556704e-05,2282.55859375
