frame_id,timestamp_s,N_vehicles,P_processed,S_segments,K_beams,sum_m_k,num_hits,time_build_sec,time_total_sec,memory_rss_mb,engine
62,6.2,6,6,24,241,5784,55,9.470000077271834e-05,0.0054462999978568405,2297.68359375,vanilla
63,6.3,6,6,24,241,5784,56,7.539999933214858e-05,0.005552800001169089,2297.68359375,vanilla
64,6.4,6,6,24,241,5784,57,8.910000178730115e-05,0.0055158000031951815,2297.69140625,vanilla
65,6.5,5,5,20,241,4820,58,8.549999620299786e-05,0.004632799995306414,2297.69140625,vanilla
66,6.6,5,5,20,241,4820,58,7.570000161649659e-05,0.004649500006053131,2297.69140625,vanilla
67,6.7,5,5,20,241,4820,60,6.579999899258837e-05,0.00471819999802392,2297.69140625,vanilla
68,6.8,6,6,24,241,5784,58,8.259999594883993e-05,0.0054348999983631074,2297.69140625,vanilla
69,6.9,6,6,24,241,5784,55,7.550000009359792e-05,0.00560599999880651,2297.69140625,vanilla
70,7.0,6,6,24,241,5784,52,8.070000330917537e-05,0.005477300001075491,2297.6953125,vanilla
71,7.1,6,6,24,241,5784,48,7.370000093942508e-05,0.0054575000031036325,2297.6953125,vanilla
72,7.2,6,6,24,241,5784,46,7.200000254670158e-05,0.0055771999977878295,2297.69921875,vanilla
73,7.3,6,6,24,241,5784,44,7.750000077066943e-05,0.00544860000081826,2297.69921875,vanilla
74,7.4,6,6,24,241,5784,43,0.00010860000475076959,0.00545820000115782,2297.69921875,vanilla
75,7.5,6,6,24,241,5784,41,7.419999747071415e-05,0.005597499999566935,2297.703125,vanilla
76,7.6,7,7,28,241,6748,39,9.349999891128391e-05,0.00650790000509005,2297.7109375,vanilla
77,7.7,7,7,28,241,6748,38,9.869999485090375e-05,0.006432700000004843,2297.71875,vanilla
78,7.8,6,6,24,241,5784,37,7.74000000092201e-05,0.005540999998629559,2297.73046875,vanilla
79,7.9,6,6,24,241,5784,36,7.539999933214858e-05,0.005514500000572298,2297.73046875,vanilla
80,8.0,6,6,24,241,5784,22,9.699999645818025e-05,0.00547789999836823,2297.734375,vanilla
81,8.1,6,6,24,241,5784,24,0.00017669999942881986,0.005543899998883717,2297.7421875,vanilla
82,8.2,7,7,28,241,6748,39,0.00010900000052060932,0.006478200004494283,2297.74609375,vanilla
83,8.3,7,7,28,241,6748,44,9.140000474872068e-05,0.00639719999890076,2297.75,vanilla
84,8.4,7,7,28,241,6748,54,0.00010450000263517722,0.006389599999238271,2297.75390625,vanilla
85,8.5,7,7,28,241,6748,61,8.789999992586672e-05,0.006353199998557102,2297.75390625,vanilla
86,8.6,7,7,28,241,6748,66,0.0001019000046653673,0.006369100003212225,2297.75390625,vanilla
87,8.7,8,8,32,241,7712,90,9.760000102687627e-05,0.007343600002059247,2297.75390625,vanilla
88,8.8,8,8,32,241,7712,95,0.00011699999595293775,0.0072938000012072735,2297.75390625,vanilla
89,8.9,8,8,32,241,7712,112,9.979999595088884e-05,0.007268199995451141,2297.75390625,vanilla
90,9.0,8,8,32,241,7712,129,9.750000026542693e-05,0.007310200002393685,2297.75390625,vanilla
91,9.1,8,8,32,241,7712,131,0.00011169999925186858,0.007315200004086364,2297.75390625,vanilla
92,9.2,8,8,32,241,7712,112,9.940000018104911e-05,0.007357500006037299,2297.75390625,vanilla
93,9.3,8,8,32,241,7712,85,9.919999865815043e-05,0.007249299997056369,2297.7578125,vanilla
94,9.4,9,9,36,241,8676,94,0.0001253000009455718,0.008203800003684592,2297.7578125,vanilla
95,9.5,8,8,32,241,7712,136,0.000115999995614402,0.0073492000010446645,2297.76171875,vanilla
96,9.6,8,8,32,241,7712,176,0.00011010000162059441,0.007356199996138457,2297.76171875,vanilla
97,9.7,8,8,32,241,7712,163,0.00010299999848939478,0.007316000002902001,2297.76171875,vanilla
98,9.8,9,9,36,241,8676,126,0.00010930000280495733,0.008283499999379274,2297.76171875,vanilla
99,9.9,9,9,36,241,8676,39,0.00014739999460289255,0.008149799999955576,2297.76171875,vanilla
100,10.0,9,9,36,241,8676,37,0.00012309999874560162,0.008125500004098285,2297.765625,vanilla
101,10.1,10,10,40,241,9640,37,0.00012140000035287812,0.008946499998273794,2297.76953125,vanilla
102,10.2,10,10,40,241,9640,42,0.00015020000137155876,0.009208700001181569,2297.76953125,vanilla
103,10.3,10,10,40,241,9640,55,0.00013970000145491213,0.008996099997602869,2297.7734375,vanilla
104,10.4,10,10,40,241,9640,59,0.00018629999976838008,0.008996700002171565,2297.78125,vanilla
105,10.5,9,9,36,241,8676,63,0.00013020000187680125,0.008164000006217975,2297.78125,vanilla
106,10.6,9,9,36,241,8676,68,0.00013210000179242343,0.00806150000425987,2297.78125,vanilla
107,10.7,8,8,32,241,7712,75,9.789999603526667e-05,0.007337799994274974,2297.78515625,vanilla
108,10.8,8,8,32,241,7712,87,0.0001064000025507994,0.007234600001538638,2297.78515625,vanilla
109,10.9,8,8,32,241,7712,104,0.0001109000004362315,0.007445600000210106,2297.78515625,vanilla
110,11.0,7,7,28,241,6748,136,9.410000347997993e-05,0.006379999998898711,2297.7890625,vanilla
111,11.1,6,6,24,241,5784,180,0.00010049999400507659,0.005524599997443147,2297.7890625,vanilla
112,11.2,6,6,24,241,5784,165,9.059999865712598e-05,0.005643399999826215,2297.79296875,vanilla
113,11.3,6,6,24,241,5784,117,8.140000136336312e-05,0.005553299997700378,2297.79296875,vanilla
114,11.4,6,6,24,241,5784,52,7.339999865507707e-05,0.005546200001845136,2297.79296875,vanilla
115,11.5,6,6,24,241,5784,58,7.380000170087442e-05,0.005534700001589954,2297.79296875,vanilla
116,11.6,6,6,24,241,5784,58,7.479999476345256e-05,0.005412099999375641,2297.79296875,vanilla
117,11.7,7,7,28,241,6748,59,9.819999831961468e-05,0.006350099996780045,2297.79296875,vanilla
118,11.8,7,7,28,241,6748,60,8.64000030560419e-05,0.006358600003295578,2297.79296875,vanilla
119,11.9,7,7,28,241,6748,52,8.510000043315813e-05,0.006437100004404783,2297.796875,vanilla
120,12.0,7,7,28,241,6748,54,8.770000567892566e-05,0.006428799999412149,2297.796875,vanilla
121,12.1,7,7,28,241,6748,54,0.00011139999696752056,0.006434499999159016,2297.796875,vanilla
122,12.2,8,8,32,241,7712,55,0.0001024999946821481,0.007357100002991501,2297.796875,vanilla
123,12.3,8,8,32,241,7712,56,0.00013649999891640618,0.0072721000033197924,2297.796875,vanilla
124,12.4,9,9,36,241,8676,57,0.00013059999764664099,0.008190200001990888,2297.796875,vanilla
125,12.5,8,8,32,241,7712,57,0.00010279999696649611,0.007352200002060272,2297.796875,vanilla
126,12.6,7,7,28,241,6748,72,8.730000263312832e-05,0.0063958000027923845,2297.796875,vanilla
127,12.7,7,7,28,241,6748,80,8.430000161752105e-05,0.006398500001523644,2297.796875,vanilla
128,12.8,8,8,32,241,7712,90,9.510000381851569e-05,0.0076469999985420145,2297.796875,vanilla
129,12.9,9,9,36,241,8676,100,0.00019859999883919954,0.008353799996257294,2297.796875,vanilla
130,13.0,9,9,36,241,8676,111,0.0001221999991685152,0.00823110000055749,2297.796875,vanilla
131,13.1,9,9,36,241,8676,129,0.00011530000483617187,0.008178900003258605,2297.796875,vanilla
132,13.2,9,9,36,241,8676,151,0.00011069999891333282,0.008165700004610699,2297.796875,vanilla
133,13.3,9,9,36,241,8676,197,0.00010769999789772555,0.008180899996659718,2297.796875,vanilla
134,13.4,9,9,36,241,8676,192,0.00012029999925289303,0.008350700001756195,2297.796875,vanilla
135,13.5,9,9,36,241,8676,103,0.00013169999874662608,0.010476600000401959,2297.796875,vanilla
136,13.6,9,9,36,241,8676,110,0.00017210000078193843,0.008401800005231053,2297.796875,vanilla
137,13.7,10,10,40,241,9640,124,0.00014959999680286273,0.009128199999395292,2297.796875,vanilla
138,13.8,9,9,36,241,8676,142,0.00041369999962626025,0.008435600000666454,2296.96484375,vanilla
139,13.9,9,9,36,241,8676,164,0.0001506000044173561,0.008665000001201406,2296.9921875,vanilla
140,14.0,9,9,36,241,8676,187,0.00015139999595703557,0.00821189999987837,2297.00390625,vanilla
141,14.1,9,9,36,241,8676,197,0.00012040000001434237,0.009699000002001412,2297.0234375,vanilla
142,14.2,10,10,40,241,9640,195,0.00018219999765278772,0.009083000004466157,2297.02734375,vanilla
143,14.3,10,10,40,241,9640,189,0.00017160000425064936,0.009442399998079054,2297.04296875,vanilla
144,14.4,10,10,40,241,9640,180,0.00015600000187987462,0.009059700001671445,2297.0625,vanilla
145,14.5,9,9,36,241,8676,169,0.00011470000026747584,0.008121699996991083,2297.0625,vanilla
146,14.6,9,9,36,241,8676,149,0.00011339999764459208,0.008177099996828474,2297.06640625,vanilla
147,14.7,9,9,36,241,8676,128,0.00013380000018514693,0.008105600005364977,2297.078125,vanilla
148,14.8,9,9,36,241,8676,96,0.00014319999900180846,0.008190100001229439,2297.08984375,vanilla
149,14.9,10,10,40,241,9640,68,0.00013210000179242343,0.009154799998214003,2297.08984375,vanilla
150,15.0,10,10,40,241,9640,68,0.00014319999900180846,0.009053100002347492,2297.109375,vanilla
151,15.1,10,10,40,241,9640,68,0.00015440000424860045,0.009081500000320375,2297.12109375,vanilla
